channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
X,noisy,1.0,2.0,1.5,7027,0.9379096031188965,0.40468332290649417,1.6618781185150147,0.6285973978042603,1.015959620475769,0.6014915108680725,0.9379096031188965
X,noisy,2.0,3.0,2.5,3963,0.25988757610321045,0.014938497543334957,0.5410791301727295,0.26307031631469724,0.2774801254272461,0.2653682231903076,0.2655441164970398
X,noisy,3.0,4.0,3.5,2847,0.06241190433502197,-0.0934971523284912,0.2526237297058105,0.17306044101715085,0.07890782505273819,0.17905476689338684,0.11638104915618896
X,noisy,4.0,5.0,4.5,2126,0.03636223077774048,-0.11062198877334595,0.18242955207824707,0.1465257704257965,0.036126356571912766,0.1504593789577484,0.10171496868133545
X,noisy,5.0,6.0,5.5,1708,0.017493367195129395,-0.09819726705551148,0.12733862876892088,0.11276794791221617,0.015300861559808254,0.12390532344579697,0.07332450151443481
X,noisy,6.0,7.0,6.5,1551,0.008291482925415039,-0.07191240787506104,0.08776473999023438,0.0798385739326477,0.007216516882181168,0.09249758720397949,0.053263187408447266
X,noisy,7.0,8.0,7.5,1487,0.004434943199157715,-0.05480201482772827,0.05973327159881592,0.057267643213272094,0.001551685854792595,0.07454076409339905,0.03633713722229004
X,noisy,8.0,9.0,8.5,1198,-0.002934694290161133,-0.054159462451934814,0.04497138977050782,0.04956542611122132,-0.005276908166706562,0.06152191758155823,0.030724376440048218
X,noisy,9.0,10.0,9.5,821,0.001553654670715332,-0.04738414287567139,0.050330448150634755,0.04885729551315307,0.00031919172033667564,0.056661657989025116,0.02786839008331299
X,denoised,1.0,2.0,1.5,7027,-0.5446490049362183,-0.8212264728546143,0.198513493537903,0.5098699831962586,-0.34387069940567017,0.6888692378997803,0.6103179454803467
X,denoised,2.0,3.0,2.5,3963,-0.1896851658821106,-0.7874746704101563,0.2899884128570557,0.538731541633606,-0.20212411880493164,0.5041951537132263,0.40246182680130005
