channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
X,noisy,1.0,2.0,1.5,7167,1.6135799884796143,1.0648138618469238,2.3223742485046386,0.6287801933288574,1.680686593055725,0.5761319398880005,1.6135799884796143
X,noisy,2.0,3.0,2.5,3809,0.5538737773895264,0.3319871044158936,0.8066433477401733,0.23732812166213987,0.5733498930931091,0.23936763405799866,0.5538737773895264
X,noisy,3.0,4.0,3.5,2628,0.17535698413848877,0.01821129322052002,0.39380784034729,0.187798273563385,0.2031988501548767,0.1911139339208603,0.1763806939125061
X,noisy,4.0,5.0,4.5,1877,0.058521389961242676,-0.11605984687805175,0.26779302597045895,0.19192643642425536,0.07695581763982773,0.1915108859539032,0.13256794214248657
X,noisy,5.0,6.0,5.5,1440,0.043388545513153076,-0.13224809885025024,0.23010685920715332,0.1811774790287018,0.0484592504799366,0.17727817595005035,0.1261853575706482
X,noisy,6.0,7.0,6.5,1200,0.017407536506652832,-0.12761009454727174,0.17206099033355712,0.14983554244041442,0.02297387085855007,0.14976663887500763,0.10274046659469604
X,noisy,7.0,8.0,7.5,959,0.014792442321777344,-0.11075112342834473,0.14718254089355462,0.12896683216094967,0.016801120713353157,0.13308534026145935,0.08463197946548462
X,noisy,8.0,9.0,8.5,861,0.023041844367980957,-0.09490588903427125,0.13786256313323975,0.1163842260837555,0.022874046117067337,0.11323992908000946,0.07951438426971436
X,noisy,9.0,10.0,9.5,714,0.014522850513458252,-0.09172142744064331,0.11848546981811521,0.10510344862937926,0.014870448969304562,0.10599539428949356,0.07055619359016418
X,denoised,1.0,2.0,1.5,7167,-0.9871882200241089,-0.9917057967185974,-0.46961287498474197,0.26104646086692773,-0.7816632986068726,0.445646196603775,0.9874382019042969
