channel,method,snr_bin_low,snr_bin_high,snr_bin_center,n_traces,median_delta_A,q16_delta_A,q84_delta_A,sigma68_delta_A,mean_delta_A,std_delta_A,median_abs_delta_A
X,noisy,1.0,2.0,1.5,7067,1.4712791442871094,0.9349175262451171,2.129930610656738,0.5975065422058103,1.5327438116073608,0.5669854283332825,1.4712791442871094
X,noisy,2.0,3.0,2.5,3823,0.4893944263458252,0.2636917448043823,0.7519519233703613,0.24413008928298952,0.5135149955749512,0.25146400928497314,0.4893944263458252
X,noisy,3.0,4.0,3.5,2679,0.15163743495941162,-0.013943419456481929,0.38456221580505373,0.19925281763076783,0.18257442116737366,0.2056770771741867,0.15812277793884277
X,noisy,4.0,5.0,4.5,1903,0.07493281364440918,-0.1115327548980713,0.2703883218765258,0.19096053838729854,0.08169470727443695,0.18967454135417938,0.13692224025726318
X,noisy,5.0,6.0,5.5,1459,0.03998267650604248,-0.13458306074142456,0.22140487194061284,0.17799396634101872,0.043223630636930466,0.17622005939483643,0.12493175268173218
X,noisy,6.0,7.0,6.5,1188,0.033707499504089355,-0.11505496978759765,0.18197099208831785,0.14851298093795776,0.035814180970191956,0.15093861520290375,0.10746961832046509
X,noisy,7.0,8.0,7.5,969,0.0188443660736084,-0.1129013442993164,0.15005379676818847,0.13147757053375245,0.020444288849830627,0.13258317112922668,0.09295260906219482
X,noisy,8.0,9.0,8.5,841,0.0199432373046875,-0.09181079864501952,0.1315489053726197,0.11167985200881961,0.020563125610351562,0.11587440967559814,0.07569015026092529
X,noisy,9.0,10.0,9.5,663,0.007631182670593262,-0.08931731462478637,0.11638648509979242,0.1028518998622894,0.01249047089368105,0.10436338186264038,0.07002437114715576
X,denoised,1.0,2.0,1.5,7067,-0.9111650586128235,-0.959949083328247,-0.32250134706497197,0.31872386813163756,-0.6910216808319092,0.4481823444366455,0.9158155918121338
X,denoised,2.0,3.0,2.5,3823,-0.7710949778556824,-0.9715865230560303,0.001556949615478527,0.4865717363357544,-0.552466869354248,0.5368230938911438,0.7788240313529968
X,denoised,3.0,4.0,3.5,2679,-0.2832145094871521,-0.9160233092308044,0.11367689609527587,0.5148501026630401,-0.33817705512046814,0.43225565552711487,0.33711469173431396
X,denoised,4.0,5.0,4.5,1903,-0.11978262662887573,-0.4992743682861328,0.11931900978088379,0.3092966890335083,-0.17403309047222137,0.32525691390037537,0.18767327070236206
X,denoised,5.0,6.0,5.5,1459,-0.059303879737854004,-0.2842215847969055,0.1356677579879761,0.2099446713924408,-0.08478449285030365,0.2325318306684494,0.13762998580932617
X,denoised,6.0,7.0,6.5,1188,-0.02848494052886963,-0.18779398202896116,0.12061862468719482,0.154206303358078,-0.0368061400949955,0.16129082441329956,0.10640555620193481
X,denoised,7.0,8.0,7.5,969,-0.019128799438476562,-0.1507641553878784,0.10378424644470215,0.12727420091629027,-0.023509951308369637,0.13186398148536682,0.08876299858093262
X,denoised,8.0,9.0,8.5,841,-0.013747155666351318,-0.1311392903327942,0.08991050720214845,0.11052489876747132,-0.01750226877629757,0.11189937591552734,0.07062828540802002
X,denoised,9.0,10.0,9.5,663,-0.01643127202987671,-0.10807324171066283,0.08303860664367675,0.0955559241771698,-0.015890782698988914,0.0984448716044426,0.0662645697593689
Y,noisy,1.0,2.0,1.5,7367,1.515012264251709,0.9671955060958862,2.16849271774292,0.6006486058235168,1.5693062543869019,0.5671328902244568,1.515012264251709
Y,noisy,2.0,3.0,2.5,3683,0.4954773187637329,0.2675049924850464,0.7532873296737671,0.24289116859436036,0.5165148377418518,0.24656231701374054,0.4954773187637329
Y,noisy,3.0,4.0,3.5,2367,0.15407371520996094,-0.009021339416503906,0.39127972126007077,0.20015053033828734,0.1859380006790161,0.20302438735961914,0.16230738162994385
Y,noisy,4.0,5.0,4.5,1758,0.06634235382080078,-0.1280747628211975,0.2745562648773193,0.20131551384925842,0.07563076913356781,0.19597133994102478,0.1386047601699829
Y,noisy,5.0,6.0,5.5,1364,0.04548722505569458,-0.12980719089508055,0.2165142011642456,0.17316069602966308,0.04710822179913521,0.1727772355079651,0.12462514638900757
Y,noisy,6.0,7.0,6.5,1065,0.030261993408203125,-0.11844938278198242,0.18917428493499755,0.15381183385848998,0.03344937041401863,0.15188884735107422,0.10560822486877441
Y,noisy,7.0,8.0,7.5,951,0.024626731872558594,-0.11590135097503662,0.1545560359954834,0.13522869348526,0.021451229229569435,0.13696591556072235,0.09547007083892822
Y,noisy,8.0,9.0,8.5,787,0.01253199577331543,-0.10168699741363525,0.13363144874572755,0.11765922307968141,0.01422647014260292,0.11586522310972214,0.07996833324432373
Y,noisy,9.0,10.0,9.5,642,0.012283027172088623,-0.08842820644378661,0.11678367137908932,0.10260593891143796,0.01499021053314209,0.10247734934091568,0.06614452600479126
Y,denoised,1.0,2.0,1.5,7367,-0.9060448408126831,-0.9810887217521668,-0.1461555910110478,0.4174665653705595,-0.6491381525993347,0.49477747082710266,0.91375333070755
Y,denoised,2.0,3.0,2.5,3683,-0.7131139039993286,-0.9828017187118531,0.028924064636230488,0.5058628916740417,-0.5272267460823059,0.4816115200519562,0.7311605215072632
Y,denoised,3.0,4.0,3.5,2367,-0.28610968589782715,-0.9294713449478149,0.11222081661224355,0.5208460807800293,-0.34685349464416504,0.4384876489639282,0.3371819853782654
Y,denoised,4.0,5.0,4.5,1758,-0.1460999846458435,-0.6042780399322509,0.10539676666259763,0.3548374032974243,-0.21148811280727386,0.35143378376960754,0.20690858364105225
Y,denoised,5.0,6.0,5.5,1364,-0.08309653401374817,-0.33279056787490846,0.11632214069366438,0.2245563542842864,-0.11642371118068695,0.25657182931900024,0.1446635127067566
Y,denoised,6.0,7.0,6.5,1065,-0.04495227336883545,-0.210988826751709,0.10945914268493652,0.16022398471832275,-0.054421890527009964,0.1759052276611328,0.1062847375869751
Y,denoised,7.0,8.0,7.5,951,-0.029581964015960693,-0.1720626950263977,0.11191725730895996,0.14198997616767883,-0.03437870740890503,0.1485476791858673,0.0981971025466919
Y,denoised,8.0,9.0,8.5,787,-0.028252005577087402,-0.14639276027679443,0.0877189016342163,0.11705583095550537,-0.028900830075144768,0.11735217273235321,0.08053797483444214
Y,denoised,9.0,10.0,9.5,642,-0.01823309063911438,-0.11164626598358154,0.08189180850982661,0.09676903724670408,-0.01726308837532997,0.10229480266571045,0.07089293003082275
Z,noisy,1.0,2.0,1.5,6480,1.543687105178833,0.985857915878296,2.2113478469848626,0.6127449655532833,1.599347472190857,0.5767503976821899,1.543687105178833
Z,noisy,2.0,3.0,2.5,3292,0.5194590091705322,0.29820218563079837,0.7734796047210694,0.2376387095451355,0.5393894910812378,0.2468561828136444,0.5194590091705322
Z,noisy,3.0,4.0,3.5,2109,0.17257511615753174,0.009420013427734375,0.39895229816436767,0.19476614236831666,0.20343787968158722,0.20374637842178345,0.17449772357940674
Z,noisy,4.0,5.0,4.5,1483,0.05680990219116211,-0.11428250312805176,0.279919018745422,0.1971007609367369,0.0791938453912735,0.19520573318004608,0.12925326824188232
Z,noisy,5.0,6.0,5.5,1108,0.036981165409088135,-0.13417192459106445,0.2144703435897827,0.17432113409042357,0.044300612062215805,0.1751103550195694,0.12052735686302185
Z,noisy,6.0,7.0,6.5,795,0.03649270534515381,-0.11300497531890868,0.18613693237304663,0.14957095384597766,0.035072945058345795,0.1530064344406128,0.10159814357757568
Z,noisy,7.0,8.0,7.5,637,0.03425478935241699,-0.10109582424163818,0.16473147869110108,0.13291365146636963,0.03303298354148865,0.13633963465690613,0.09603965282440186
Z,noisy,8.0,9.0,8.5,510,0.023435592651367188,-0.09186464071273805,0.1455964231491089,0.11873053193092348,0.02316630445420742,0.12029319256544113,0.08145970106124878
Z,noisy,9.0,10.0,9.5,412,0.008288562297821045,-0.09472733974456786,0.11463493347167969,0.10468113660812378,0.009103741496801376,0.10422620922327042,0.07002946734428406
Z,denoised,1.0,2.0,1.5,6480,-0.19765570759773254,-0.8778919291496277,0.14902814388275146,0.5134600365161895,-0.28411513566970825,0.43684083223342896,0.30329447984695435
Z,denoised,2.0,3.0,2.5,3292,-0.021793991327285767,-0.23508394241333005,0.15747644901275634,0.1962801957130432,-0.0486326590180397,0.23717732727527618,0.12934929132461548
Z,denoised,3.0,4.0,3.5,2109,-0.0018529891967773438,-0.14572399377822876,0.1384063243865967,0.14206515908241274,-0.009065388701856136,0.1570092886686325,0.09712684154510498
Z,denoised,4.0,5.0,4.5,1483,-0.00011283159255981445,-0.10595501899719238,0.10043651103973388,0.10319576501846313,-0.008361156098544598,0.12707653641700745,0.07142406702041626
Z,denoised,5.0,6.0,5.5,1108,0.0006549358367919922,-0.09338584423065185,0.09106499195098877,0.09222541809082031,-0.007187288254499435,0.11403544992208481,0.05779451131820679
Z,denoised,6.0,7.0,6.5,795,-0.0013350844383239746,-0.08245349407196045,0.0807971715927124,0.08162533283233642,-0.005623540375381708,0.10165324807167053,0.05372512340545654
